Date,Close
2025-01-01,23742.9
2025-01-02,24188.65
2025-01-03,24004.75
2025-01-06,23616.05
2025-01-07,23707.9
2025-01-08,23688.95
2025-01-09,23526.5
2025-01-10,23431.5
2025-01-13,23085.95
2025-01-14,23176.05
2025-01-15,23213.2
2025-01-16,23311.8
2025-01-17,23203.2
2025-01-20,23344.75
2025-01-21,23024.65
2025-01-22,23155.35
2025-01-23,23205.35
2025-01-24,23092.2
2025-01-27,22829.15
2025-01-28,22957.25
2025-01-29,23163.1
2025-01-30,23249.5
2025-01-31,23508.4
2025-02-01,23482.15
2025-02-03,23361.05
2025-02-04,23739.25
2025-02-05,23696.3
2025-02-06,23603.35
2025-02-07,23559.95
2025-02-10,23381.6
2025-02-11,23071.8
2025-02-12,23045.25
2025-02-13,23031.4
2025-02-14,22929.25
2025-02-17,22959.5
2025-02-18,22945.3
2025-02-19,22932.9
2025-02-20,22913.15
2025-02-21,22795.9
2025-02-24,22553.35
2025-02-25,22547.55
2025-02-27,22545.05
2025-02-28,22124.7
2025-03-03,22119.3
2025-03-04,22082.65
2025-03-05,22337.3
2025-03-06,22544.7
2025-03-07,22552.5
2025-03-10,22460.3
2025-03-11,22497.9
2025-03-12,22470.5
2025-03-13,22397.2
2025-03-17,22508.75
2025-03-18,22834.3
2025-03-19,22907.6
2025-03-20,23190.65
2025-03-21,23350.4
2025-03-24,23658.35
2025-03-25,23668.65
2025-03-26,23486.85
2025-03-27,23591.95
2025-03-28,23519.35
2025-04-01,23165.7
2025-04-02,23332.35
2025-04-03,23250.1
2025-04-04,22904.45
2025-04-07,22161.6
2025-04-08,22535.85
2025-04-09,22399.15
2025-04-11,22828.55
2025-04-15,23328.55
2025-04-16,23437.2
2025-04-17,23851.65
2025-04-21,24125.55
2025-04-22,24167.25
2025-04-23,24328.95
2025-04-24,24246.7
2025-04-25,24039.35
2025-04-28,24328.5
2025-04-29,24335.95
2025-04-30,24334.2
2025-05-02,24346.7
2025-05-05,24461.15
2025-05-06,24379.6
2025-05-07,24414.4
2025-05-08,24273.8
2025-05-09,24008
2025-05-12,24924.7
2025-05-13,24578.35
2025-05-14,24666.9
2025-05-15,25062.1
2025-05-16,25019.8
2025-05-19,24945.45
2025-05-20,24683.9
2025-05-21,24813.45
2025-05-22,24609.7
2025-05-23,24853.15
2025-05-26,25001.15
2025-05-27,24826.2
2025-05-28,24752.45
2025-05-29,24833.6
2025-05-30,24750.7
2025-06-02,24716.6
2025-06-03,24542.5
2025-06-04,24620.2
2025-06-05,24750.9
2025-06-06,25003.05
2025-06-09,25103.2
2025-06-10,25104.25
2025-06-11,25141.4
2025-06-12,24888.2
2025-06-13,24718.6
2025-06-16,24946.5
2025-06-17,24853.4
2025-06-18,24812.05
2025-06-19,24793.25
2025-06-20,25112.4
2025-06-23,24971.9
2025-06-24,25044.35
2025-06-25,25244.75
2025-06-26,25549
